Area,year,houseSales,meanHousePrice,MedianHousePrice,population,meanAnnualSalary,MedianAnnualSalary,weeklyRent,nominalHousePrice,realHousePrice,trendInRealHouse,realAWE,CPIH,CPI,OOH
City of London,1975,,,,,,,,,,,,,,
City of London,1976,,,,,,,,,,,,,,
City of London,1977,,,,,,,,,,,,,,
City of London,1978,,,,,,,,,,,,,,
City of London,1979,,,,,,,,,,,,,,
City of London,1980,,,,,,,,,,,,,,
City of London,1981,,,,,,,,,,,,,,
City of London,1982,,,,,,,,,,,,,,
City of London,1983,,,,,,,,,,,,,,
City of London,1984,,,,,,,,,,,,,,
City of London,1985,,,,,,,,,,,,,,
City of London,1986,,,,,,,,,,,,,,
City of London,1987,,,,,,,,,,,,,,
City of London,1988,,,,,,,,,,,,,,
City of London,1989,,,,,,,,,,,,,,
City of London,1990,,,,,,,,,,,,,,
City of London,1991,,,,,,,,,,,,,,
City of London,1992,,,,,,,,,,,,,,
City of London,1993,,,,,,,,,,,,,,
City of London,1994,,,,,,,,,,,,,,
City of London,1995,165,146043,"105,00",,,,,,,,,,,
City of London,1996,284,136344,124250,,,,,,,,,,,
City of London,1997,328,156418,135000,,,,,,,,,,,
City of London,1998,436,227377,169250,,,,,,,,,,,
City of London,1999,545,232854,180000,10000,109800,40400,59,,,,,,,
City of London,2000,441,255964,200000,10000,137000,65000,59,,,,,,,
City of London,2001,373,266277,237500,12000,92900,38300,60,,,,,,,
City of London,2002,393,270879,250000,11000,78700,37000,63,,,,,,,
City of London,2003,483,322733,285000,10000,85800,39200,65,,,,,,,
City of London,2004,378,292696,280000,10000,95600,44400,68,,,,,,,
City of London,2005,306,329697,310000,10000,90600,49300,66,,,,,,,
City of London,2006,300,374654,337500,10000,99200,49000,65,,,,,,,
City of London,2007,270,490706,416250,10000,102000,58500,69,,,,,,,
City of London,2008,143,412940,365000,10000,120522,59200,73,,,,,,,
City of London,2009,159,449611,400000,9000,137000,61900,75,,,,,,,
City of London,2010,237,524581,450000,8000,127000,61300,76,,,,,,,
City of London,2011,256,541192,465000,8000,117000,51600,83,,,,,,,
City of London,2012,197,537160,485000,9000,131000,58300,90,,,,,,,
City of London,2013,427,775504,615000,9000,151000,65300,112,,,,,,,
City of London,2014,316,894046,769100,9000,144000,61100,100,,,,,,,
City of London,2015,282,926292,800000,10000,142000,60000,104,,,,,,,
City of London,2016,137,928037,831400,12000,157000,57300,105,,,,,,,
City of London,2017,203,950760,835000,11000,148000,60000,104,,,,,,,
City of London,2018,,,,12000,142000,55200,100,,,,,,,
City of London,2019,,,,12000,128000,54200,103,,,,,,,
City of London,2020,,,,10000,142000,56700,106,,,,,,,
City of London,2021,,,,9000,167000,62200,107,,,,,,,
City of London,2022,,,,,,,112,,,,,,,
City of London,2023,,,,,,,,,,,,,,
Barking and Dagenham,1975,,,,,,,,,,,,,,
Barking and Dagenham,1976,,,,,,,,,,,,,,
Barking and Dagenham,1977,,,,,,,,,,,,,,
Barking and Dagenham,1978,,,,,,,,,,,,,,
Barking and Dagenham,1979,,,,,,,,,,,,,,
Barking and Dagenham,1980,,,,,,,,,,,,,,
Barking and Dagenham,1981,,,,,,,,,,,,,,
Barking and Dagenham,1982,,,,,,,,,,,,,,
Barking and Dagenham,1983,,,,,,,,,,,,,,
Barking and Dagenham,1984,,,,,,,,,,,,,,
Barking and Dagenham,1985,,,,,,,,,,,,,,
Barking and Dagenham,1986,,,,,,,,,,,,,,
Barking and Dagenham,1987,,,,,,,,,,,,,,
Barking and Dagenham,1988,,,,,,,,,,,,,,
Barking and Dagenham,1989,,,,,,,,,,,,,,
Barking and Dagenham,1990,,,,,,,,,,,,,,
Barking and Dagenham,1991,,,,,,,,,,,,,,
Barking and Dagenham,1992,,,,,,,,,,,,,,
Barking and Dagenham,1993,,,,,,,,,,,,,,
Barking and Dagenham,1994,,,,,,,,,,,,,,
Barking and Dagenham,1995,1488,50165,49000,,,,,,,,,,,
Barking and Dagenham,1996,1894,51680,49995,,,,,,,,,,,
Barking and Dagenham,1997,2443,56222,53500,,,,,,,,,,,
Barking and Dagenham,1998,2516,63874,59995,0,0,,,,,,,,,
Barking and Dagenham,1999,2699,69544,65000,62000,16200,1500,49,,,,,,,
Barking and Dagenham,2000,2834,84111,78000,71000,18100,15600,52,,,,,,,
Barking and Dagenham,2001,3227,94451,89500,56000,18600,16200,54,,,,,,,
Barking and Dagenham,2002,3468,118795,115250,67000,19100,17000,57,,,,,,,
Barking and Dagenham,2003,3638,145661,140000,67000,18000,17400,58,,,,,,,
Barking and Dagenham,2004,3638,163828,159995,77000,19400,16600,60,,,,,,,
Barking and Dagenham,2005,2901,169663,163000,83000,20600,17900,63,,,,,,,
Barking and Dagenham,2006,3682,175139,167998,77000,20600,17600,66,,,,,,,
Barking and Dagenham,2007,4016,192859,185000,78000,21300,18600,71,,,,,,,
Barking and Dagenham,2008,1710,196942,190000,78000,22000,19000,73,,,,,,,
Barking and Dagenham,2009,1266,166483,160000,76000,23100,19400,72,,,,,,,
Barking and Dagenham,2010,1459,179018,170000,69000,22500,19400,73,,,,,,,
Barking and Dagenham,2011,1463,180165,170000,73000,22800,19600,79,,,,,,,
Barking and Dagenham,2012,1346,181471,174000,74000,23700,20100,88,,,,,,,
Barking and Dagenham,2013,1743,187943,180995,77000,24600,21000,90,,,,,,,
Barking and Dagenham,2014,2123,215810,215000,74000,25500,21800,91,,,,,,,
Barking and Dagenham,2015,2240,244126,245500,83000,25900,22100,98,,,,,,,
Barking and Dagenham,2016,2063,289176,290000,88000,26700,23300,96,,,,,,,
Barking and Dagenham,2017,1880,301518,300000,85000,27400,23900,97,,,,,,,
Barking and Dagenham,2018,,,,85000,28800,25200,94,,,,,,,
Barking and Dagenham,2019,,,,85000,29400,25700,95,,,,,,,
Barking and Dagenham,2020,,,,87000,30800,26800,97,,,,,,,
Barking and Dagenham,2021,,,,90000,31800,28000,96,,,,,,,
Barking and Dagenham,2022,,,,,,,102,,,,,,,
Barking and Dagenham,2023,,,,,,,,,,,,,,
Barnet,1975,,,,,,,,,,,,,,
Barnet,1976,,,,,,,,,,,,,,
Barnet,1977,,,,,,,,,,,,,,
Barnet,1978,,,,,,,,,,,,,,
Barnet,1979,,,,,,,,,,,,,,
Barnet,1980,,,,,,,,,,,,,,
Barnet,1981,,,,,,,,,,,,,,
Barnet,1982,,,,,,,,,,,,,,
Barnet,1983,,,,,,,,,,,,,,
Barnet,1984,,,,,,,,,,,,,,
Barnet,1985,,,,,,,,,,,,,,
Barnet,1986,,,,,,,,,,,,,,
Barnet,1987,,,,,,,,,,,,,,
Barnet,1988,,,,,,,,,,,,,,
Barnet,1989,,,,,,,,,,,,,,
Barnet,1990,,,,,,,,,,,,,,
Barnet,1991,,,,,,,,,,,,,,
Barnet,1992,,,,,,,,,,,,,,
Barnet,1993,,,,,,,,,,,,,,
Barnet,1994,,,,,,,,,,,,,,
Barnet,1995,4758,111019,85125,,,,,,,,,,,
Barnet,1996,6254,111203,87000,,,,,,,,,,,
Barnet,1997,6853,135580,100000,,,,,,,,,,,
Barnet,1998,6500,147673,113995,,,,,,,,,,,
Barnet,1999,7616,173356,135000,161000,26800,18700,55,,,,,,,
Barnet,2000,6648,199147,159000,156000,30800,19400,56,,,,,,,
Barnet,2001,6942,220955,174975,159000,30400,18700,57,,,,,,,
Barnet,2002,7447,257942,207000,150000,32300,19700,61,,,,,,,
Barnet,2003,6313,284178,233000,150000,33900,20000,62,,,,,,,
Barnet,2004,6798,306902,249000,155000,32800,19900,64,,,,,,,
Barnet,2005,5459,318450,250000,161000,35600,21100,67,,,,,,,
Barnet,2006,6832,341937,273000,173000,36700,20400,70,,,,,,,
Barnet,2007,6950,380566,295000,173000,38700,22000,75,,,,,,,
Barnet,2008,3493,387784,280000,170000,40000,23000,79,,,,,,,
Barnet,2009,3214,382142,290000,167000,41600,24300,81,,,,,,,
Barnet,2010,4209,444386,325000,176000,38800,24100,83,,,,,,,
Barnet,2011,3949,440755,325000,179000,39200,24200,95,,,,,,,
Barnet,2012,4085,450269,330000,172000,41000,25800,98,,,,,,,
Barnet,2013,4746,479968,345000,167000,45500,26800,98,,,,,,,
Barnet,2014,4915,534786,400000,175000,45000,27100,101,,,,,,,
Barnet,2015,4966,566874,450000,178000,49000,27700,103,,,,,,,
Barnet,2016,4927,584202,476500,180000,48600,28800,102,,,,,,,
Barnet,2017,3769,667593,533500,188000,49500,28700,102,,,,,,,
Barnet,2018,,,,188000,51600,29900,102,,,,,,,
Barnet,2019,,,,192000,51600,30700,101,,,,,,,
Barnet,2020,,,,189000,54400,32200,104,,,,,,,
Barnet,2021,,,,190000,59100,33500,107,,,,,,,
Barnet,2022,,,,,,,113,,,,,,,
Barnet,2023,,,,,,,,,,,,,,
Bexley,1975,,,,,,,,,,,,,,
Bexley,1976,,,,,,,,,,,,,,
Bexley,1977,,,,,,,,,,,,,,
Bexley,1978,,,,,,,,,,,,,,
Bexley,1979,,,,,,,,,,,,,,
Bexley,1980,,,,,,,,,,,,,,
Bexley,1981,,,,,,,,,,,,,,
Bexley,1982,,,,,,,,,,,,,,
Bexley,1983,,,,,,,,,,,,,,
Bexley,1984,,,,,,,,,,,,,,
Bexley,1985,,,,,,,,,,,,,,
Bexley,1986,,,,,,,,,,,,,,
Bexley,1987,,,,,,,,,,,,,,
Bexley,1988,,,,,,,,,,,,,,
Bexley,1989,,,,,,,,,,,,,,
Bexley,1990,,,,,,,,,,,,,,
Bexley,1991,,,,,,,,,,,,,,
Bexley,1992,,,,,,,,,,,,,,
Bexley,1993,,,,,,,,,,,,,,
Bexley,1994,,,,,,,,,,,,,,
Bexley,1995,3430,66294,62000,,,,,,,,,,,
Bexley,1996,3987,69941,65000,,,,,,,,,,,
Bexley,1997,4742,75484,71000,,,,,,,,,,,
Bexley,1998,4301,85497,79000,,,,,,,,,,,
